№,Товар,Ниша,Скор,Рынки,Насыщенность,Вердикт,Сигнал longevity (рекламодатель и дата старта),Закупка USD,Retail USD,Маржа,Конкуренты,Пробел в позиционировании,Целевая аудитория,Риски,Паспорт (бренд)
11,Фильтрующая лейка для душа,skincare tools / beauty,86,US+GB+AU,🟡,👀 СЛЕДИТЬ,"Muravai с 02.2025 на US, GB и AU",8–12,70–90,6–8x + подписка на картриджи,"Jolie (премиум $165), Muravai, Canopy, Amazon-лейки $25","Средний сегмент $60–80 с доказательной подачей пуст: лабзамеры + гарантия «слив станет чище за 30 дней»","Женщины 22–40 (выпадение волос/тусклость); города с жёсткой водой","Клеймы про волосы у FTC под прицелом; фильтры снимают только хлор → обещания вокруг хлора и налёта",—
12,Титановая bolt-action ручка,everyday carry / gift,86,US+GB,🟢,🚀 ЗАПУСКАТЬ,"BIGiDESIGN с 05.2025 (и в GB); Bastion «#1 Gift in His Mind» с 09.2025",4–18,35–79,4–6x,"Bastion (BOGO, подарочный угол), BIGiDESIGN (премиум), Craighill (дизайн)","Оба игрока продают «железку»; пусто: гравировка + подарочная механика и fidget-угол (клик вместо вейпа)","Женщины 28–55 (подарки мужчинам); EDC-энтузиасты 25–45","Подарочные пики = кассовые качели; EDC-комьюнити токсично к «китайщине» → честное качество",Kavo Pen
13,Компрессионные носки (wide-calf угол),health / seniors,85,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"Everstride: B2G2 с 09.2025 на 3 рынках; Bright Legs с 10.2025",1.5–3,"25–30 (4 пары $60 бандлом)",8x+,"Everstride (главный, wide-calf отзывы), Bright Legs, Comrad/Bombas сверху","Plus-size аудитория системно недообслужена во всей компрессии; профессиональные вертикали (медсёстры, беременные)","Медсёстры/учителя/ритейл, беременные, 55+, авиапутешественники, plus-size","Ценовая конкуренция; нужна реальная градуированная компрессия 15–20 mmHg — иначе отзывы убьют",Everly Wide
14,Кольцо-фиджет от тревожности,stress relief + jewelry,85,US+AU,🟡,🚀 ЗАПУСКАТЬ,"CONQUERing, Anxi Ring; Publishg с 01.2026; Zentarni в AU",2–4,30–45,10x+,"CONQUERing (лидер, interchange-система), Anxi Ring, Publishg, Zentarni (AU)","Вся ниша — женская эстетика; мужской сегмент пуст (титан/карбид, обручальный стиль); подростки/студенты","Женщины 20–40 (ядро) ИЛИ мужчины 25–45 (наш пробел)","Формулировки «поддерживает ментальное здоровье» — мягкие, не «лечит»; лёгкое копирование дизайна",Still
15,Ab-роллер с контролем траектории,home gym,85,US+GB+AU,🟡,👀 СЛЕДИТЬ,"PostureFlex с 11.2025 (3 рынка); Cubberleys-клон с 2023",5–8,35–50,5–6x,"Munsyn (блиц: по 18 объявлений в GB и AU), PostureFlex, Homefitness Lab, старые клоны","Все бьют в мужскую аудиторию «пресс»; пусто: послеродовое восстановление кора/диастаз и 45+ «защити поясницу»","Мужчины 25–45 (пресс), женщины 28–40 (постпартум)","Munsyn заливает рынок — CPM вырастет; фитнес-девайсы пылятся → нужен контент-протокол",—
16,Кошачий фонтан-поилка,pet products,84,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"KittySpout с 03.2026 на всех 3 рынках; Cheerble мультирыночен",8–14,50–80,4–6x + фильтры по подписке,"KittySpout («#1 Vet-Recommended»), Cheerble, Try Pure, Catlink, PetSafe/Amazon","Главная причина возвратов у всех — мытьё насоса; никто не сделал «моется за 30 секунд» центральным обещанием","Кошатники 25–55, особенно владельцы котов 7+ и на сухом корме","Насос/электроника = брак и возвраты; доставка 1–1.5 кг; Amazon по $25",PureSpout
17,Компрессионная травел-сумка,travel accessories,84,US+GB+AU,🟡,🚀 ЗАПУСКАТЬ,"Biaggi с 03.2024; 2PackBag с 02.2026 на 3 рынках",6–10,40–60,5–6x,"2PackBag/Travel With Frank, Jenni Bag/Overpack (GB/AU), Biaggi","Все показывают «влезло много», никто не считает деньги («окупается за 1 перелёт»); нет версий под рамки лоукостеров","Путешественники-лоукостеры 22–45, семьи (4 сбора за багаж)","Сезонные пики; швы/молнии под давлением = гарантийка",FlatPack
18,Корректор осанки,posture / health,83,US+AU,🔴,⏳ ЖДАТЬ,"Axzenia с 05.2024 (26 месяцев); CoreCare — империя из 5+ страниц",2.5–4,35,8x,"CoreCare, Axzenia + бесконечный шлейф клонов («SCAM ALERT» друг на друга)","Вся ниша продаёт пассивную тряпку с завышенными обещаниями; реальный гэп — активный тренажёр с вибро-напоминанием за $40","25–50 офис; женщины на угол «визуально стройнее»","Война клонов = ад в CPM; клеймы «лечит сколиоз» — против halal-гейта; вернуться при COGS активного трекера < $12",—
19,Бандаж на запястье (туннельный синдром),health / office,83,US+GB+AU,🟢→🟡,👀 СЛЕДИТЬ,"Kovaria TheraWrap с 10.2025 US, выход в GB/AU 05.2026",2–3,30–35,10x,"Kovaria (хуки-страх), Solvora, Frost Aid (крем), аптечные Mueller/Futuro без DTC-энергии","Конкуренты пугают операцией; чистый вход — протокол «эргономика + ночная шина» по профессиям (геймеры, программисты), честный тон","28–55 за клавиатурой; беременные (частый туннельный синдром) — пустой под-сегмент","Медицинские формулировки; конкуренты давят страхом — честность должна конвертить не хуже",—
20,Алмазная мозаика (kits),craft,82,US+GB+AU,🟡→🔴,👀 СЛЕДИТЬ,"Diamondartpaintin с 11.2025 на 3 рынках; Dreamer Designs (free-kit funnel) на 3 рынках",2–4,25–45,8x+ (высокий LTV),"Dreamer Designs (фри-кит трэп), Diamond Art Club (премиум-король вне скана), Diamondartpaintin, Figured'Art","Пусто между премиумом ($40+) и Ali-трешем ($8); custom по фото, терапевтический угол (анти-думскроллинг), наборы мама+дети","Женщины 30–65; пересечение с paint-by-numbers аудиторией","Ниша зрелая, лидер силён; вход только с чётким сегментом — лучше через custom PBN (#5)",—
21,Тренажёр хвата / предплечий,home gym,81,US+GB+AU,🟡,👀 СЛЕДИТЬ,"Great Ape с 08.2025; Uclips I Bell на US+GB+AU",3–6,30–45,6–7x,"Great Ape Grips (хоккей), Uclips, Aznolt, Saker twister, Amazon-масса $10","Все бьют в спортсменов; пусто: здоровье/долголетие 45+ (сила хвата = маркер долголетия) и реабилитация после туннельного синдрома","Мужчины 30–60; биохакеры; спортсмены-любители (BJJ, гольф)","Commodity-восприятие → нужен апгрейд (регулировка, датчик силы)",—
22,Вышитый свитшот с портретом питомца,personalized gifts,81,US+GB+AU,🟡,👀 СЛЕДИТЬ,"Pet Lovers Embroidery с 02.2026 на всех 3 рынках",14–20 (POD),55–70,~3.5x (ноль склада),"Pet Lovers Embroidery, For lover gift, macorner (POD-гигант), Etsy-масса","Никто не даёт превью вышивки до оплаты и бесплатную переделку; пусто в мемориальной версии (связка с #2)","Женщины 20–45, культура «pet parents»; подарки подругам","POD-сроки 2–3 недели → жалобы; ошибки вышивки по плохим фото",—
23,Мультирезка овощей Pro,kitchen gadgets,81,US+GB+AU,🔴,⏳ ЖДАТЬ,"Elantio: одно объявление с 03.2023 (39 месяцев!) — рекорд скана",6–9,35–45,4–5x,"Elantio, MagicalCook, Saker, taybah, FurEase + бездонный Amazon $20","Пробел объективно мал (commodity); щели: meal-prep комьюнити и артрит-аудитория (лёгкое усилие)","Семьи, meal-preppers, 28–55","Лезвия = порезы; война цен с Amazon; выигрывает медиабаинг, а не продукт",—
24,Охлаждающая наволочка (менопауза-угол),sleep / женское здоровье 45+,77,US,🟡,🚀 ЗАПУСКАТЬ,"Mellow Sleep: advertorial-сеть с 02.2026; LUNA Fabrics в US+GB",3–5,35–45 за пару,7x,"Mellow (сеть страниц-персонажей), LUNA (бамбук-шёлк), Blissy сверху, Rest/Slumber Cloud вне скана","Mellow бьёт в общий «night sweats»; менопауза как бренд-миссия пуста: комьюнити, контент, бандл «прохладная спальня»","Женщины 44–60; вторично — все «спящие жарко»","Ткань должна реально охлаждать (Q-Max) — иначе возвраты; Blissy может войти в сегмент",CoolNest
25,Энзимный удалитель запахов питомцев,pet products,76,US (→GB/AU),🟡,🚀 ЗАПУСКАТЬ в GB/AU,"FurryFreshness с 08.2024 (23 месяца) на одних отзывах",3–5,25,~4x (повторные покупки),"FurryFreshness, EcoStrong, CloBombs, Angry Orange (гигант US); в GB/AU игроков из скана нет","UV-доказательство используют единицы; угол арендатора («спаси депозит») пуст; экспансия GB/AU отстаёт от US","Владельцы щенков/котов, арендаторы, мамы","Жидкость = дорогая логистика, производство локально; Angry Orange душит аукцион в US",FreshDen
26,Складные титановые очки-ридеры,пожилые + EDC,76,US,🟢→🟡,👀 СЛЕДИТЬ,"Charmoo с 09.2025 («One-Year Warranty»)",4–7,35–45,6–7x,"Charmoo, ThinOptics (пионер вне скана), Amazon-масса $12","Продукт продаётся как гаджет; никто не продаёт «сет точек» (3 пары: кошелёк+машина+тумбочка = $79)","45–65 активные; дети как дарители","Диоптрийный ассортимент (+1.0…+3.0) усложняет склад; качество петель",—
27,Drop Stop (заглушка щели авто-сиденья),car accessories,76,US,🟡,⏳ ЖДАТЬ юр-проверки,"Drop Stop (Shark Tank) с 07.2024; клоны роятся с 11.2025",1–2 за пару,19.99–24.99,10x,"Drop Stop (бренд + ТВ-история), клоны Joyeloo, Coozy, Kelyvo, Prime Choice","Drop Stop владеет «безопасностью», клоны — ценой; остались родительский угол (соска в щели) и детейлинг-угол","Родители-водители 25–45; все, кто ел фри в машине","Патент US8267143! Проверить обход конструкции — иначе IP-гейт под угрозой",—
28,Ремень-рэтчет без дырок,gift / EDC,75,US,🟡,👀 СЛЕДИТЬ,"Vittelo с 04.2025 (15 месяцев)",4–6,39–49,8x,"Vittelo, SlideBelt/Anson (вне скана), Amazon $15","Все продают «технологию»; пусто: big&tall сегмент и подарочная механика (гравировка пряжки)","Женщины-дарители + мужчины 30–60","Механизм пряжки = брак/возвраты; подарочный сегмент конкурентен по CPM в Q4",—
29,Кошелёк с trigger-механизмом,everyday carry,75,US+GB+AU,🔴,⏳ ЖДАТЬ,"CODE 118 активен на 3 рынках; Ridge — мировой гигант; Paperwallet с 08.2025",4–7,40–60,6–8x,"Ridge (монстр с retail-дистрибуцией), CODE 118, Paperwallet, Double Oak, GRAMS28, Vavcraft + Amazon","Ridge занял «премиум-дефолт»; реальный гэп только в женском сегменте (вся ниша — «мужская сталь»)","EDC-аудитория; дарители","Против Ridge без радикальной идеи делать нечего; женский угол требует продуктовой разработки",—
30,DeskBoard Buddy (доска под монитор),office / продуктивность,75,US,🟢,👀 СЛЕДИТЬ / дешёвый тест,"DeskBoard Buddy — единственный рекламодатель, с 12.2025",2–4,25–30,8x,"Сам DeskBoard Buddy; Amazon-аналоги без бренда","Ниша пуста — сама возможность входа; углы: ADHD-аудитория (внешняя рабочая память), геймеры, возврат-в-офис","Ремоут/гибрид 25–45, ADHD-комьюнити","Продукт прост — клонируется мгновенно; низкий AOV → нужен бандл",—
31,Маска для сна для бокового сна,sleep,74,US (+GB ниша),🟡,👀 СЛЕДИТЬ,"SideSleeperZ с 03.2026 (v4 + reviews-лендинг); SnoozeBand (GB)",3–5,30–40,7x,"Manta (доминатор вне скана), SideSleeperZ, SnoozeBand (аудио)","Manta — унисекс-техно; пусто: lash-safe сегмент (наращённые ресницы) и мигрень-версия (охлаждающие вставки)","Женщины 22–40 с ресницами; чуткий сон 30–55","Manta может закрыть углы быстро; размерность голов; входить только lash-углом",—
32,Груминг-пылесос для питомцев,pet products,74,US,🟡,👀 СЛЕДИТЬ,"FurMe крутит листикл с 06.2025",25–35,110–150,~4x (профит $50+/заказ),"FurMe (US), Neakasa/oneisall на Amazon; DTC в GB/AU не видно","Все демонстрируют функцию; пусто: калькулятор «окупается за 2 стрижки» и обучение стрижке породы (страх «испорчу собаку»)","Владельцы длинношёрстных пород, семьи 30–55","Вес ~1.8–2 кг на границе гейта; электроника = возвраты; AOV $130 требует ретаргет-воронки",—
33,Садовая скамейка-наколенник,gardening tools,74,US (+AU противофаза),🟢,🚀 ЗАПУСКАТЬ,"Aimerla с 09.2025 (лендинг с именем evergreen1)",8–12,50–70,5x,"Aimerla почти монополист в Meta; Amazon-масса $30 без бренда","Единственный активный рекламодатель — возможность войти вторым; пуст подарочный угол (покупают дети садовода)","Садоводы 55+, их дети 30–50 (подарок)","Сезонный перекос к весне-лету (сглаживается AU-противофазой); габарит 1.5–2 кг на границе",KneelEasy Garden
34,Pott'd набор для домашней керамики,craft / gift / date night,74,US (бренд GB),🟢→🟡,👀 СЛЕДИТЬ,"Pott'd с 10.2025 («gift that feels different»)",6–10,45–60,5–6x,"Pott'd (лидер), Sculpd (близнец вне скана), Crafter's Box","Оба лидера — UK-бренды с общей подачей; пусто в US: date-night позиционирование и корпоративные тимбилдинг-киты","Пары 25–40, дарительницы подругам","Вес набора 1.5–2 кг на границе гейта; глина = качество (трещины при сушке) критично",—
35,Карманная подставка для ноутбука,desk accessories,73,US,🟢,👀 СЛЕДИТЬ,"STXND с 09.2025 («Perfect Posture in your Pocket»)",3–5,25–35,6–7x,"STXND, Waregami, Copenrain + Roost/Moft вне скана","Никто не продаёт подставку как профилактику tech neck с замером угла; кофейни-кочевники и студенты недотаргечены","Ремоут-работники, студенты 20–40","Низкий AOV → сложно отбивать CPA соло; Moft узнаваем; хорош вторым SKU в posture-бренде",—
36,Мешок для стирки обуви (Kaliteas),clothing care,73,US,🟢,👀 СЛЕДИТЬ / дешёвый тест,"Kaliteas с 04.2026 (хук-отзыв)",1.5–2.5,19.99,8x,"1–2 в Meta; sneakerhead-щётки (Jason Markk) — соседний ритуал","Ниша не образована; углы: мамы (детские кроссовки еженедельно), культ белых кроссовок, бандл с ластиком и шнурками","Мамы 28–45; сникер-культура 18–30","Копеечный продукт — нужен бандл для AOV; замша — нет → честные оговорки",—
37,Льняной мешок для хлеба (LoafGuard),eco + kitchen,73,US,🟢,👀 СЛЕДИТЬ / нишевый запуск,"LoafGuard: advertorial с 03.2026",1.5–3,22–28,8x,"LoafGuard одинок в Meta; Etsy-мелочь","Категория пуста; связка со слайсером = бандл «sourdough starter pack» для страстной аудитории","Домашние пекари 30–60","Узкая ниша — потолок масштаба; сезонного риска нет",—
38,Наклонная доска для ахилла (Sidekick AxisBoard),fitness rehab,73,US,🟢,👀 СЛЕДИТЬ,"Sidekick с 11.2025",—,—,—,"Реабилитационная микрониша, конкурентов в Meta почти нет","Вход через беговые клубы","Бегуны и спортсмены с проблемами ахилла","Микрониша — ограниченный масштаб",—
39,Карточки жизненных уроков для детей,kids development + parenting,73,US,🟢,👀 СЛЕДИТЬ / связка с #3,"Orvani с 02.2026",1.5–2 (печать),25,12x,"1–2 в Meta; соседний гигант — Big Life Journal (вне скана)","Формат «разговор в машине по дороге в школу» не занят; религиозные/ценностные версии (христианская, мусульманская) — пусто","Родители 30–45; бабушки-дедушки как дарители","Контент копируется; нужен сильный текст (он же — ров)",—
40,Пенный очиститель унитаза (Splash-тип),cleaning,73,US,🟡,⏳ ЖДАТЬ / только честное позиционирование,"Buy Splash: v4 с 01.2026, сеть лендингов",2–3,27–35 (3-пак),6x (consumable),"Splash-сеть (агрессивные фаннелы), Active, масса white-label","Категория дискредитирована скам-сетками; вход — честный бренд: реальные демо, состав, «безопасно для септика» (пустой угол)","Домовладельцы 30–60, септики/колодцы","Химия = сертификация; категория под подозрением у покупателей — придётся отмываться за всех",—
41,3-в-1 дорожная бутылочка (baby),baby,72,US,🟢,👀 СЛЕДИТЬ,"Charactek: 4 вариации с 05.2026 (56 дней)",4–6,30–35,5–6x,"Charactek почти один в Meta; в рознице Munchkin и пр.","Baby-ниша в Meta пуста; угол «ночное кормление за 40 секунд без похода на кухню» не занят","Родители детей 0–18 мес (25–38); подарки на бэби-шауэр","BPA-free сертификаты обязательны, ошибка = токсичный PR; короткий LTV (аудитория выходит из ниши)",—
42,Busy-books для малышей (анти-экран),kids development,71,US,🟡,👀 СЛЕДИТЬ,"Hadley Designs, Tibatoes с 04–05.2026",3–5,30–40,7x,"Hadley, Tibatoes (монтессори-лендинг), Tix&Mix, Etsy-хендмейд","Сценарные наборы («самолёт», «ресторан», «церковь») вместо универсальной книжки — покупка под конкретную боль момента","Родители 25–40, дарители","CPSIA-сертификация (мелкие детали!) обязательна; проверка поставщика критична",—
43,Массажные стельки (Stepprs),health,71,US,🟡,⏳ ЖДАТЬ,"Stepprs: «walk on clouds or it's free» с 07.2025",—,—,—,"Stepprs, Dr.Scholl сверху","—","Люди на ногах весь день","Война с аптечным гигантом Dr.Scholl",—
44,Палочки сильвервайна для кошек,pet products,70,US,🟢,👀 СЛЕДИТЬ 30 дней,"Purriq с 05.2026 (60 дней)",1–2 за набор,20–25,10x+ (consumable),"Purriq одинок в скане; на Amazon дешёвые аналоги без бренда","Категория не образована: никто не объяснил, что сильвервайн работает на 80% кошек (vs 60% у мяты); рынок нужно создавать","Кошатники 20–40, TikTok-культура котов","Сигнал молодой (60 дней); ингестив для животных → сертификаты; образование рынка стоит денег",—
45,Компрессионные наколенники для 60+ (Griqos),health,70,US,🟡,⏳ ЖДАТЬ,"Griqos с 07.2025, advertorial «хирургия — не единственный выбор»",—,—,—,"Griqos + аптечные бренды","—","60+ с болями в коленях","Аккуратно с медицинскими клеймами",—
46,Waterless-перчатки для мытья собак (DogPlaybox),pet products,70,US,🟡,⏳ ЖДАТЬ,"DogPlaybox: «свежий пёс за 5 минут без ванны» с 04.2026",—,—,—,"Перчаточная ниша перегрета Uproot-ом","—","Владельцы собак","Ниша перегрета; молодой сигнал",—
47,Магнитная ложка для обуви AESKA,EDC / gift,70,US,🟢,👀 СЛЕДИТЬ,"AESKA с 04.2026",—,—,—,"AESKA почти одна; премиум-апгрейд повседневного предмета","Только в бандл к мужскому gift-бренду","Мужчины 30–60; дарители","Низкий AOV — соло не отбить CPA",—
48,Бьюти-борода киты (Detroit-тип),grooming,68,US,🔴,⏳ ЖДАТЬ,"Detroit/Copenhagen Grooming",—,—,—,"Beardbrand, King C. Gillette — ниша 🔴","—","Мужчины с бородой","Жидкости <100 мл ок, но ниша перегрета брендами",—
